player,tour,steal_charting
Mary Joe Fernandez,w,27.2
Mary Pierce,w,28.0
Maryna Zanevska,w,38.4
Mats Wilander,m,24.0
Matteo Arnaldi,m,46.3
Matteo Berrettini,m,34.4
Matthew Ebden,m,28.3
Mattia Bellucci,m,44.1
Max Mirnyi,m,23.7
Max Purcell,m,55.6
Maxime Cressy,m,14.5
Maximilian Marterer,m,19.6
Maya Joint,w,26.0
Mayar Sherif,w,49.0
Mccartney Kessler,w,21.3
Mia Pohankova,w,26.9
Michael Berrer,m,38.5
Michael Chang,m,26.5
Michael Mmoh,m,30.2
Michael Russell,m,39.1
Michael Stich,m,27.3
Michael Zheng,m,20.0
Mihaela Buzarnescu,w,39.7
Mikael Pernfors,m,48.6
Mikael Ymer,m,28.4
Mikhail Kukushkin,m,28.5
Mikhail Youzhny,m,29.5
Milos Raonic,m,8.2
Miloslav Mecir,m,18.0
Miomir Kecmanovic,m,23.6
Mirra Andreeva,w,39.3
Mirza Basic,m,40.3
Misaki Doi,w,24.8
Mischa Zverev,m,16.7
Mohamed Safwat,m,21.5
Mona Barthel,w,28.8
Monica Niculescu,w,78.0
Monica Puig,w,17.9
Monica Seles,w,14.6
Moyuka Uchijima,w,21.3
Na Li,w,8.2
Nadia Petrova,w,15.0
Nadia Podoroska,w,36.4
Nao Hibino,w,31.2
Naomi Osaka,w,12.8
Natalia Vikhlyantseva,w,10.4
Nick Hardt,m,33.0
Nick Kyrgios,m,33.5
Nicolai Budkov Kjaer,m,18.9
Nicolas Almagro,m,15.6
Nicolas Escude,m,8.3
Nicolas Jarry,m,14.3
Nicolas Kiefer,m,30.5
Nicolas Lapentti,m,36.8
Nicolas Mahut,m,33.4
Nicolas Massu,m,15.4
Nicolas Mejia,m,53.4
Nicole Gibbs,w,35.2
Nikola Milojevic,m,19.5
Nikolay Davydenko,m,9.5
Nikoloz Basilashvili,m,5.4
Nishesh Basavareddy,m,21.8
Noma Noha Akugue,w,29.0
Novak Djokovic,m,27.2
Nuno Borges,m,29.3
Nuria Brancaccio,w,126.3
Nuria Parrizas Diaz,w,17.7
Oceane Dodin,w,16.1
Oksana Selekhmeteva,w,15.5
Olga Danilovic,w,21.3
Olivia Gadecki,w,16.0
Omar Camporese,m,12.3
Ons Jabeur,w,67.4
Oscar Otte,m,52.8
Otto Virtanen,m,39.1
Pablo Andujar,m,36.2
Pablo Carreno Busta,m,22.5
Pablo Cuevas,m,13.4
Panna Udvardy,w,25.4
Paolo Lorenzi,m,24.2
Paradorn Srichaphan,m,24.3
Pat Cash,m,36.5
Patricia Maria Tig,w,66.8
Patrick Mcenroe,m,19.6
Patrick Rafter,m,30.2
Patty Schnyder,w,45.5
Paul Haarhuis,m,51.8
Paul Henri Mathieu,m,14.0
Paul Jubb,m,27.0
Paula Badosa,w,20.6
Pauline Parmentier,w,10.4
Pavel Kotov,m,25.3
Pedro Cachin,m,24.5
Pedro Martinez,m,44.9
Pete Sampras,m,11.5
Peter Gojowczyk,m,15.0
Peter Polansky,m,19.4
Petr Korda,m,14.9
Petra Cetkovska,w,32.9
Petra Kvitova,w,19.6
Petra Martic,w,46.8
Peyton Stearns,w,21.8
Philipp Kohlschreiber,m,29.0
Pierre Hugues Herbert,m,25.7
Polina Kudermetova,w,42.6
Polona Hercog,w,39.7
Prajnesh Gunneswaran,m,25.1
Priscilla Hon,w,26.0
Qiang Wang,w,17.6
Qinwen Zheng,w,21.5
Quentin Halys,m,34.2
Radek Stepanek,m,29.2
Radu Albot,m,21.7
Rafael Jodar,m,6.7
Rafael Nadal,m,17.3
Rainer Schuettler,m,22.8
Raluka Serban,w,26.8
Raphael Collignon,m,6.7
Rebecca Marino,w,8.9
Rebecca Peterson,w,18.4
Rebecca Sramkova,w,39.3
Rebeka Masarova,w,20.4
Reilly Opelka,m,12.5
Renata Zarazua,w,53.8
Renzo Olivo,m,30.2
Ricardas Berankis,m,16.2
Richard Gasquet,m,24.6
Richard Krajicek,m,22.7
Richel Hogenkamp,w,40.9
Rinky Hijikata,m,13.7
Robby Ginepri,m,14.3
Roberta Vinci,w,47.6
Roberto Bautista Agut,m,23.1
Roberto Carballes Baena,m,30.1
Robin Haase,m,48.3
Robin Montgomery,w,20.1
Robin Soderling,m,5.1
Rod Laver,m,62.2
Roger Federer,m,19.0
Roman Safiullin,m,21.8
Sabine Lisicki,w,44.6
Saisai Zheng,w,45.9
Salvatore Caruso,m,10.8
Sam Querrey,m,23.9
Samantha Stosur,w,12.9
Sara Bejlek,w,36.9
Sara Errani,w,55.1
Sara Sorribes Tormo,w,42.2
Sebastian Baez,m,35.1
Sebastian Korda,m,17.9
Sebastian Ofner,m,14.3
Sebastien Grosjean,m,20.1
Serena Williams,w,12.9
Sergi Bruguera,m,27.5
Sergiy Stakhovsky,m,49.9
