tour,player,WinUFE,short_win%,long_win%,steal_droplob,BP_conv%,forces_oppUFE,adjUFE
MEN,Todd Martin,1.08,,,22.9,,-2.83,16.3
MEN,Tomas Berdych,0.99,,,16.3,,-1.28,16.9
MEN,Tomas Machac,1.20,49.2,50.7,17.4,46.4,0.34,16.9
MEN,Tomas Martin Etcheverry,1.10,49.7,46.7,26.9,34.6,2.06,16.8
MEN,Tommy Haas,0.89,,,25.4,,-0.27,18.3
MEN,Tommy Paul,0.94,50.1,52.0,19.0,39.3,1.26,17.7
MEN,Tommy Robredo,0.88,,,21.1,,1.48,18.3
MEN,Ugo Humbert,1.20,51.3,46.1,19.4,37.6,0.62,17.5
MEN,Wayne Ferreira,0.66,,,8.8,,1.25,20.1
MEN,Yevgeny Kafelnikov,0.88,,,19.9,,0.90,18.6
MEN,Yoshihito Nishioka,0.98,44.9,51.5,23.0,37.3,1.12,19.4
MEN,Zhizhen Zhang,1.29,47.2,50.6,22.3,,1.17,16.0
MEN,Zizou Bergs,0.93,48.7,53.6,27.1,,2.99,17.3
WOMEN,Agnieszka Radwanska,0.97,,,31.8,,0.29,17.9
WOMEN,Ajla Tomljanovic,0.75,45.6,48.4,22.3,,-1.82,19.3
WOMEN,Alexandra Eala,0.97,49.4,53.7,17.7,48.3,-0.80,16.7
WOMEN,Aliaksandra Sasnovich,0.70,47.0,52.4,33.9,,0.95,20.8
WOMEN,Alison Riske Amritraj,0.69,46.5,47.4,20.8,,3.03,20.9
WOMEN,Amanda Anisimova,0.75,50.7,50.0,21.0,44.8,-0.99,19.9
WOMEN,Ana Bogdan,0.76,48.1,51.1,19.7,,1.76,18.4
WOMEN,Ana Ivanovic,0.87,,,19.3,,-0.48,18.2
WOMEN,Anastasia Pavlyuchenkova,0.87,46.9,46.5,22.7,,-1.95,17.5
WOMEN,Anastasia Potapova,0.71,48.4,53.6,37.1,43.8,-0.36,20.0
WOMEN,Anastasija Sevastova,0.72,47.6,47.0,39.0,,0.16,20.1
WOMEN,Anett Kontaveit,0.75,51.7,55.6,26.4,48.0,0.62,20.0
WOMEN,Angelique Kerber,0.90,48.7,50.8,30.8,52.5,0.18,19.5
WOMEN,Anhelina Kalinina,0.88,47.0,53.5,46.3,36.8,1.94,18.7
WOMEN,Anna Blinkova,1.02,48.0,41.3,18.5,43.8,-2.21,15.0
WOMEN,Anna Bondar,0.74,51.3,51.0,30.4,37.5,-1.13,18.9
WOMEN,Anna Kalinskaya,0.92,50.1,50.3,28.6,48.2,-0.40,17.5
WOMEN,Arantxa Rus,0.61,53.0,47.5,24.5,46.7,3.29,21.7
WOMEN,Arantxa Sanchez Vicario,0.62,,,27.2,,3.15,22.8
WOMEN,Arianne Hartono,0.65,46.9,54.2,18.1,47.4,5.00,20.6
WOMEN,Aryna Sabalenka,1.06,52.4,53.8,23.5,43.9,-3.20,16.3
WOMEN,Ashleigh Barty,0.70,55.0,57.5,26.1,45.9,0.81,21.4
WOMEN,Barbora Krejcikova,0.72,50.1,49.5,27.9,40.3,1.70,19.8
WOMEN,Barbora Strycova,0.69,50.1,41.4,41.9,,1.65,22.1
WOMEN,Beatriz Haddad Maia,0.67,48.4,47.9,25.6,,2.32,20.5
WOMEN,Belinda Bencic,0.94,51.4,55.7,18.4,49.0,-1.62,17.6
WOMEN,Bianca Andreescu,0.73,50.7,49.3,44.9,45.0,0.71,19.8
WOMEN,Camila Giorgi,0.53,49.8,49.5,12.1,47.6,1.15,21.9
WOMEN,Camila Osorio,0.65,50.0,55.2,42.2,47.6,2.08,21.5
WOMEN,Carla Suarez Navarro,0.72,45.9,43.5,15.4,,0.50,21.4
WOMEN,Caroline Garcia,0.92,48.4,50.0,18.9,40.1,-3.07,16.5
WOMEN,Caroline Wozniacki,0.83,53.1,54.7,27.5,45.9,-0.19,18.7
WOMEN,Chris Evert,0.48,,,30.6,,1.71,24.9
WOMEN,Clara Tauson,0.91,50.9,50.9,34.2,41.5,-1.12,19.2
WOMEN,Coco Gauff,0.67,52.5,53.5,20.4,49.8,1.04,19.5
WOMEN,Danielle Collins,0.81,51.2,51.0,29.6,42.9,-0.27,19.3
WOMEN,Daria Kasatkina,0.73,48.3,51.6,28.9,44.4,4.14,21.8
WOMEN,Daria Saville,0.70,49.7,46.8,40.5,,2.79,21.7
WOMEN,Dayana Yastremska,0.66,47.1,51.6,,,0.90,20.1
WOMEN,Diana Shnaider,0.76,49.1,50.8,27.6,47.2,0.32,19.9
WOMEN,Dominika Cibulkova,0.76,,,26.1,,0.67,21.3
WOMEN,Donna Vekic,0.86,49.9,45.5,45.2,43.6,0.05,19.2
WOMEN,Ekaterina Alexandrova,0.79,50.0,51.6,15.3,41.9,-0.32,18.2
WOMEN,Elena Dementieva,0.65,,,17.7,,2.30,21.7
WOMEN,Elena Rybakina,0.88,54.3,52.4,22.3,47.1,-2.10,18.0
WOMEN,Elina Avanesyan,0.77,46.2,47.4,24.0,36.8,1.65,19.6
WOMEN,Elina Svitolina,0.75,51.5,50.9,25.9,43.8,0.47,20.9
WOMEN,Elise Mertens,0.78,48.9,51.8,35.4,45.8,0.86,19.6
WOMEN,Emma Raducanu,0.78,51.5,49.6,26.1,44.2,-1.06,19.6
WOMEN,Eugenie Bouchard,0.75,48.4,47.1,20.0,,-0.60,19.5
WOMEN,Flavia Pennetta,0.93,,,27.4,,2.46,18.4
WOMEN,Francesca Schiavone,0.82,,,24.3,,-1.62,18.0
